*************** PARAMETERS ***************
Hypercube boundary length: 1.0
Hypercube dimension: 5
Curves: ['hilbert', 'zorder']
Curve order: 7
Point counts: [100]
Point distribution: uniform
Core counts: [10, 25, 50]
K-Nearest-Neighbor counts: [10, 20, 30, 40, 50, 60, 70, 80, 90]
Nearness neighborhoods: [0.1, 0.2, 0.3, 0.5]
******************************************

Averages/Variances of k-nearest neighbor conservation over 40 runs:
(100, 'hilbert', 10) :  (0.397925, 0.0005240693749999999)
(100, 'hilbert', 20) :  (0.44463749999999996, 0.0004844248437500003)
(100, 'hilbert', 30) :  (0.4939333333333333, 0.0003770955555555555)
(100, 'hilbert', 40) :  (0.5482374999999998, 0.00033518734375000017)
(100, 'hilbert', 50) :  (0.603355, 0.00031864497500000026)
(100, 'hilbert', 60) :  (0.6661, 0.0002200525000000001)
(100, 'hilbert', 70) :  (0.7371464285714286, 0.00014565355867346948)
(100, 'hilbert', 80) :  (0.8158781249999999, 5.284647460937501e-05)
(100, 'hilbert', 90) :  (0.9099527777777776, 1.0841905864197527e-05)
(100, 'zorder', 10) :  (0.35017500000000007, 0.0005135943749999997)
(100, 'zorder', 20) :  (0.4043875, 0.0005255935937499999)
(100, 'zorder', 30) :  (0.4611583333333333, 0.000376694375)
(100, 'zorder', 40) :  (0.5279499999999999, 0.0003574162500000002)
(100, 'zorder', 50) :  (0.5979699999999999, 0.0003266531000000002)
(100, 'zorder', 60) :  (0.6672333333333333, 0.0002246344444444444)
(100, 'zorder', 70) :  (0.7453892857142855, 0.0001377173341836734)
(100, 'zorder', 80) :  (0.83006875, 6.542027343750007e-05)
(100, 'zorder', 90) :  (0.9171222222222222, 1.6352962962963033e-05)

