*************** PARAMETERS ***************
Hypercube boundary length: 1.0
Hypercube dimension: 5
Curves: ['hilbert', 'zorder']
Curve order: 7
Point counts: [500]
Point distribution: uniform
Core counts: [10]
K-Nearest-Neighbor counts: [50, 100, 150, 200, 250, 300, 350, 400, 450]
Nearness neighborhoods: [0.1, 0.2, 0.3, 0.5]
******************************************

Averages/Variances of k-nearest neighbor conservation over 40 runs:
(500, 'hilbert', 50) :  (0.420006, 0.00012375388400000004)
(500, 'hilbert', 100) :  (0.4496919999999999, 0.00011389009600000007)
(500, 'hilbert', 150) :  (0.4943443333333334, 7.497910122222217e-05)
(500, 'hilbert', 200) :  (0.5515517500000001, 7.637225443749979e-05)
(500, 'hilbert', 250) :  (0.6019092, 5.565354416000002e-05)
(500, 'hilbert', 300) :  (0.6645719999999999, 3.916830488888898e-05)
(500, 'hilbert', 350) :  (0.7333779999999999, 2.3663587836734757e-05)
(500, 'hilbert', 400) :  (0.8112634999999999, 7.552834000000022e-06)
(500, 'hilbert', 450) :  (0.9020573333333333, 2.00601165432098e-06)
(500, 'zorder', 50) :  (0.36727199999999993, 5.3042815999999956e-05)
(500, 'zorder', 100) :  (0.40944500000000017, 4.2438215e-05)
(500, 'zorder', 150) :  (0.4641886666666668, 3.924852933333329e-05)
(500, 'zorder', 200) :  (0.52357875, 3.176744093749992e-05)
(500, 'zorder', 250) :  (0.5966816000000001, 2.7258826239999967e-05)
(500, 'zorder', 300) :  (0.6641898333333334, 3.214902886111116e-05)
(500, 'zorder', 350) :  (0.7414585714285715, 1.3816819183673455e-05)
(500, 'zorder', 400) :  (0.8240477500000001, 6.778326187500029e-06)
(500, 'zorder', 450) :  (0.9099154444444446, 3.2872903580246955e-06)

